,comment,sentiment,text
10,10点半点的餐，12点还没下单，这速度也是醉了。味道还可以，德国香肠没有太好吃，焗土豆和柠檬鸡还是推荐的。,0,10 点 半点 的 餐 ， 12 点 还 没 下单 ， 这 速度 也 是 醉 了 。 味道 还 可以 ， 德国 香肠 没有 太 好吃 ， 焗 土豆 和 柠檬 鸡 还是 推荐 的 。
11,两个人吃没点太多，要了一份手抓饼当主食，没仔细看菜单，以为手抓饼是咸口的了🤣结果太甜了，油还有点大。当时特别想吃炸鲜奶那类的甜食，就要了一份椰香南瓜什么的，菜一上来好大的面包片，里面夹了一点南瓜，外面还挤了一些酱，这个酱有点酸不好吃，一人吃了一块就没动。老醋杂拌一般，有点浆浆糊糊的。还要了一份铁板茄夹，茄子太薄了，其实是想吃茄子，倒吃了一口肉馅,1,两个 人 吃 没点 太多 ， 要 了 一份 手 抓 饼 当 主食 ， 没 仔细 看 菜单 ， 以为 手 抓 饼 是 咸口 的 了 🤣 结果 太甜 了 ， 油 还 有点 大 。 当时 特别 想 吃 炸 鲜奶 那类 的 甜食 ， 就要 了 一份 椰香 南瓜 什么 的 ， 菜 一 上来 好大 的 面包片 ， 里面 夹 了 一点 南瓜 ， 外面 还 挤 了 一些 酱 ， 这个 酱 有点 酸 不 好吃 ， 一人 吃 了 一块 就 没动 。 老醋 杂拌 一般 ， 有点 浆浆 糊糊 的 。 还要 了 一份 铁板 茄 夹 ， 茄子 太薄 了 ， 其实 是 想 吃 茄子 ， 倒 吃 了 一口 肉馅
12,很一般   地点好真的很重要    不是很推荐,0,很 一般       地点 好 真的 很 重要         不是 很 推荐
13,我们两个人去的，等个100多个号吧，还行因为不着急，就特地为了去拔草，点了一直烤鸭，味道不错，就是上的特别慢，上了以后吃了两口就饱了，还点了奶酪鱼，名不虚传非常好吃，还点了松茸木耳？好像是这个名字，松茸炒鸡少，味道一般，不推荐，还点了招牌梨汤，不错，很好喝，点了奶酪虾球，味道还行，可是为什么给我们桌上的比我们隔壁桌的量要少很多呢？！吃的时候没发现，等隔壁桌上的时候才发现的，然后在看其它桌的分量都比我们多，这还看人下菜碟么？总之，不会去了,0,我们 两个 人去 的 ， 等 个 100 多个 号 吧 ， 还 行 因为 不 着急 ， 就 特地 为了 去 拔草 ， 点 了 一直 烤鸭 ， 味道 不错 ， 就是 上 的 特别 慢 ， 上 了 以后 吃 了 两口 就 饱 了 ， 还点 了 奶酪 鱼 ， 名不虚传 非常 好吃 ， 还点 了 松茸 木耳 ？ 好像 是 这个 名字 ， 松茸 炒鸡少 ， 味道 一般 ， 不 推荐 ， 还点 了 招牌 梨 汤 ， 不错 ， 很 好喝 ， 点 了 奶酪 虾球 ， 味道 还 行 ， 可是 为什么 给 我们 桌上 的 比 我们 隔壁 桌 的 量 要 少 很多 呢 ？ ！ 吃 的 时候 没 发现 ， 等 隔壁 桌上 的 时候 才 发现 的 ， 然后 在 看 其它 桌 的 分量 都 比 我们 多 ， 这 还 看人下菜 碟 么 ？ 总之 ， 不会 去 了
14,哎，冲着推荐来的，后悔死了，上菜巨慢不说，服务态度还超级差，东西咸的要死，而且普遍的贵，谁来谁犯二，这辈子不会再来了。,0,哎 ， 冲着 推荐 来 的 ， 后悔 死 了 ， 上菜 巨慢 不 说 ， 服务态度 还 超级 差 ， 东西 咸 的 要死 ， 而且 普遍 的 贵 ， 谁 来 谁 犯二 ， 这辈子 不会 再来 了 。
15,超级差评  上菜慢 服务态度超级差、先把汤上来喝饱了 完事菜就上了一个，找服务员催半天也上不来最后结账态度超级差一个个子不高在门口附近桌子的服务员,0,超级 差评     上菜 慢   服务态度 超级 差 、 先 把 汤 上来 喝 饱 了   完事 菜 就 上 了 一个 ， 找 服务员 催 半天 也 上 不来 最后 结账 态度 超级 差 一个 个子 不高 在 门口 附近 桌子 的 服务员
16,很好吃，中餐有西餐味。用餐人很多，我们排队了15分钟呢，爆,1,很 好吃 ， 中餐 有 西餐 味 。 用餐 人 很多 ， 我们 排队 了 15 分钟 呢 ， 爆
17,平日晚餐去的时间不算晚人也依旧那么火爆 等了一个小时 安排了一张超小的桌子 只适合下午茶用 很无语 点了奶酪罐子依旧很喜欢 芝士布朗尼好吃 彩虹沙拉料足好喜欢 意面也不错 喜欢奶油口味 还点到了限量的卤肉饭 很好吃 总体来说还不错吧,1,平日 晚餐 去 的 时间 不算 晚人 也 依旧 那么 火爆   等 了 一个 小时   安排 了 一张 超小 的 桌子   只 适合 下午茶 用   很无语   点 了 奶酪 罐子 依旧 很 喜欢   芝士 布朗 尼 好吃   彩虹 沙拉 料足 好 喜欢   意面 也 不错   喜欢 奶油 口味   还点 到 了 限量 的 卤肉饭   很 好吃   总体 来说 还 不错 吧
18,好吃好吃好吃，就是人不少！烤肉速度人多时候稍有些慢！,1,好吃 好吃 好吃 ， 就是 人 不少 ！ 烤肉 速度 人多 时候 稍 有些 慢 ！
19,总体还不错 要的都是推荐菜 手撕饼有点腻,1,总体 还 不错   要 的 都 是 推荐 菜   手 撕饼 有点 腻
20,没有菜单 用微信点菜 还是先付款 什么都没吃着就把钱付了 忙活点餐付款就十几二十分钟 还真得不饿的时候来吃饭 要不就得饿死,0,没有 菜单   用 微信 点菜   还是 先 付款   什么 都 没 吃 着 就 把 钱付 了   忙活 点餐 付款 就 十几 二十分钟   还 真得 不 饿 的 时候 来 吃饭   要 不 就 得 饿死
21,上周末去的娜娜家，一直没来得及点评，今天趁着工作不忙赶紧来补一个😝作为一个爱吃甜食的女生，真的是对这种有很多小甜点的西餐厅爱不释手，恨不得天天吃。刚好周末在公司加班，离大悦城很近，又刚好大悦城有娜娜家，毫不犹豫的拉着男朋友来拔草了。【位置】大悦城五楼骑鹅公社，对我这个路痴来说位置其实并不算好找，拉着男票足足转了有两圈，才在一个角落看到娜娜家门口的标志性小车。【环境】因为是周末去的，所以人不算少，要排队等位，不过屁股刚坐下没有两分钟就叫到我们了，安排的位置是一进门下楼梯直对的单人沙发坐，桌子有点矮，适合下午茶的时候点杯咖啡葛优躺跟闺蜜聊一下午的天，不过吃正餐就没那么舒服了，男票一度表示想换个位置，无奈人太多只能凑合坐。【服务】服务员的素质都还算不错，坐下后很及时的送来了iPad点餐，而且一直有服务员站在店里随时等候召唤～点好餐服务员也会贴心的问是不是按顺序上，有没有要等叫的，然后告诉你菜上齐大概需要多久。店里还提供移动电源，就是需要100元的押金，不过算是比较周到的服务了。接下来说到食物啦👏👏👏【娜娜的奶酪罐子】娜娜家的限量奶酪，一桌限点一个，上一次去娜娜家有点晚奶酪已经没有了，这次一定不会错过了，顶层是巧克力味的芝士饼干和树莓，中间是奶酪，口感跟味道都很不错，就是吃多了会有点腻，底层应该也是饼干底，奶酪一定要及时消灭掉，不然放热了会影响口感。【巧克力鲜奶油冰淇淋华夫】量很足，四块华夫，每块都很大，冰激凌会化得很快，所以如果想要慢悠悠吃饭的伙伴还是等叫吧，等嘴闲下来再叫冰激凌华夫上，这样才不会影响口感。【煎烤德国香肠】强推！！！口感味道都一级棒，配菜土豆泥也很好吃，蘸酱略偏酸，所以个人感觉不沾酱比较好吃。爱肉食的小伙伴可以尝试一下呦。【烟花妓女意大利面】完全是被名字吸引，男票说味道一般，可能是因为当时已经吃饱了。【芝士鸡肉蘑菇意大利面】无功无过吧，算是正常的意面，因为比较偏爱芝士奶油所以点的。饮品点的是鸳鸯奶茶，不是偏甜是偏苦的奶茶类型，咖啡味浓，爱港式奶茶的可以试试。娜娜家环境不错，菜品也很好，一般朋友小聚或者情侣约会都可以选择，有的分店有歌手驻唱，男孩子们可以晚上带女朋友去听歌吃甜点呀，相信大部分女孩子都会喜欢娜娜家的甜品的。,1,上周末 去 的 娜娜 家 ， 一直 没 来得及 点评 ， 今天 趁着 工作 不 忙 赶紧 来补 一个 😝 作为 一个 爱 吃 甜食 的 女生 ， 真的 是 对 这种 有 很多 小 甜点 的 西餐厅 爱不释手 ， 恨不得 天天 吃 。 刚好 周末 在 公司 加班 ， 离 大悦 城 很 近 ， 又 刚好 大悦 城有 娜娜 家 ， 毫不犹豫 的 拉 着 男朋友 来 拔草 了 。 【 位置 】 大悦 城五楼 骑鹅 公社 ， 对 我 这个 路痴 来说 位置 其实 并 不算 好找 ， 拉着 男票 足足 转 了 有 两圈 ， 才 在 一个 角落 看到 娜娜 家门口 的 标志性 小车 。 【 环境 】 因为 是 周末 去 的 ， 所以 人 不算 少 ， 要 排队 等位 ， 不过 屁股 刚 坐下 没有 两分钟 就 叫 到 我们 了 ， 安排 的 位置 是 一 进门 下楼梯 直对 的 单人 沙发 坐 ， 桌子 有点 矮 ， 适合 下午茶 的 时候 点杯 咖啡 葛优 躺 跟 闺蜜 聊 一 下午 的 天 ， 不过 吃 正餐 就 没 那么 舒服 了 ， 男票 一度 表示 想换个 位置 ， 无奈 人太多 只能 凑合 坐 。 【 服务 】 服务员 的 素质 都 还 算 不错 ， 坐下 后 很 及时 的 送来 了 iPad 点餐 ， 而且 一直 有 服务员 站 在 店里 随时 等候 召唤 ～ 点 好餐 服务员 也 会 贴心 的 问 是不是 按 顺序 上 ， 有没有 要 等 叫 的 ， 然后 告诉 你 菜 上 齐 大概 需要 多久 。 店里 还 提供 移动 电源 ， 就是 需要 100 元 的 押金 ， 不过 算是 比较 周到 的 服务 了 。 接下来 说 到 食物 啦 👏 👏 👏 【 娜娜 的 奶酪 罐子 】 娜娜 家 的 限量 奶酪 ， 一桌 限点 一个 ， 上 一次 去 娜娜 家 有点 晚 奶酪 已经 没有 了 ， 这次 一定 不会 错过 了 ， 顶层 是 巧克力 味 的 芝士 饼干 和 树莓 ， 中间 是 奶酪 ， 口感 跟 味道 都 很 不错 ， 就是 吃 多 了 会 有点 腻 ， 底层 应该 也 是 饼干 底 ， 奶酪 一定 要 及时 消灭 掉 ， 不然 放热 了 会 影响 口感 。 【 巧克力 鲜奶油 冰淇淋 华夫 】 量 很 足 ， 四块 华夫 ， 每块 都 很大 ， 冰激凌 会化 得 很快 ， 所以 如果 想要 慢悠悠 吃饭 的 伙伴 还是 等 叫 吧 ， 等 嘴 闲下来 再 叫 冰激凌 华夫 上 ， 这样 才 不会 影响 口感 。 【 煎 烤 德国 香肠 】 强推 ！ ！ ！ 口感 味道 都 一级 棒 ， 配菜 土豆泥 也 很 好吃 ， 蘸 酱 略偏 酸 ， 所以 个人感觉 不沾酱 比较 好吃 。 爱 肉食 的 小伙伴 可以 尝试 一下 呦 。 【 烟花 妓女 意大利 面 】 完全 是 被 名字 吸引 ， 男票 说 味道 一般 ， 可能 是因为 当时 已经 吃饱 了 。 【 芝士 鸡肉 蘑菇 意大利 面 】 无功 无过 吧 ， 算是 正常 的 意面 ， 因为 比较 偏爱 芝士 奶油 所以 点 的 。 饮品 点 的 是 鸳鸯 奶茶 ， 不是 偏甜 是 偏苦 的 奶茶 类型 ， 咖啡 味 浓 ， 爱 港式 奶茶 的 可以 试试 。 娜娜 家 环境 不错 ， 菜品 也 很 好 ， 一般 朋友 小聚 或者 情侣 约会 都 可以 选择 ， 有 的 分店 有 歌手 驻唱 ， 男孩子 们 可以 晚上 带 女朋友 去 听歌 吃 甜点 呀 ， 相信 大部分 女孩子 都 会 喜欢 娜娜 家 的 甜品 的 。
22,服务员跟**似的，摇摇手，没位置，话都不说一句。,0,服务员 跟 * * 似的 ， 摇摇手 ， 没 位置 ， 话 都 不 说 一句 。
23,自从这家出了就一直想去，终于赶个闺蜜也有时间的日子早早的去了。不到五点半到那就已经排到10几号了，差不多等了半个小时进去了。两个人但是排号的只发中桌，所以我们两个人占了一张大桌子很不好意思啊。点了三个菜两杯饮料，但是我俩好撑，各种吃不完了，味道好吃的真的没的说。点菜是用美味不用等，觉得很新颖。以后还会再去,1,自从 这家 出 了 就 一直 想 去 ， 终于 赶个 闺蜜 也 有 时间 的 日子 早早 的 去 了 。 不到 五点 半到 那 就 已经 排到 10 几号 了 ， 差不多 等 了 半个 小时 进去 了 。 两个 人 但是 排号 的 只 发中桌 ， 所以 我们 两个 人 占 了 一张 大 桌子 很 不好意思 啊 。 点 了 三个 菜 两杯 饮料 ， 但是 我俩 好撑 ， 各种 吃不完 了 ， 味道 好吃 的 真的 没 的 说 。 点菜 是 用 美味 不用 等 ， 觉得 很 新颖 。 以后 还会 再 去
24,东西什么的都挺好，味道也不错，就是人多点，环境很好,1,东西 什么 的 都 挺 好 ， 味道 也 不错 ， 就是 人 多点 ， 环境 很 好
25,早就耳闻卤肉饭，可是不太喜欢吃，是甜口的，米饭太硬太硬了应该是隔夜的，肉也不是很烂！！烟花意面挺辣的，就是意大利酱，味道挺浓的，之前去都可以随便坐，这次个高的男服务员不让座，看到三口坐个六人座，上菜了又让人人家坐别的地方，小孩都哭了，感觉有点不合适了！！,0,早就 耳闻 卤肉饭 ， 可是 不太 喜欢 吃 ， 是 甜口 的 ， 米饭 太硬 太 硬 了 应该 是 隔夜 的 ， 肉 也 不是 很烂 ！ ！ 烟花 意面 挺 辣 的 ， 就是 意大利 酱 ， 味道 挺 浓 的 ， 之前 去 都 可以 随便 坐 ， 这次 个 高 的 男服务员 不让 座 ， 看到 三口 坐个 六人座 ， 上菜 了 又 让 人 人家 坐 别的 地方 ， 小孩 都 哭 了 ， 感觉 有点 不 合适 了 ！ ！
26,由于在公司对面，因此和同事来过几次，菜的味道还可以，今天和家人路过这，带他们进来尝尝，桌子上方有风，孩子不习惯，然后我们就和里面的服务员说了一下，服务员让我们自己找张没有风吹的桌子，我们就自己找了张没有风同时也没人的桌子坐下，坐了半天了，可气的是那迎宾员（穿蓝色衣服的一女孩）后面带个客人进来非得坐这个位子，我们都坐半天要点菜了，她非得让我们坐会原来的位子，口气毫无商量，把矛盾推给我们两家顾客来解决，让我和对方谈，看来开业生意好服务就无所谓了，那迎宾安排排位的那个女的服务态度和服务意识够差的，不想在大庭广众之下和一个女的费口舌，最后我们就只好回到原来的位子勉强吃完这顿饭，记忆深刻，下次再也不来了，也联系周围的同事别来了，不想吃个饭还受气。,0,由于 在 公司 对面 ， 因此 和 同事 来过 几次 ， 菜 的 味道 还 可以 ， 今天 和 家人 路过 这 ， 带 他们 进来 尝尝 ， 桌子 上方 有风 ， 孩子 不 习惯 ， 然后 我们 就 和 里面 的 服务员 说 了 一下 ， 服务员 让 我们 自己 找张 没有 风吹 的 桌子 ， 我们 就 自己 找 了 张 没有 风 同时 也 没人 的 桌子 坐下 ， 坐 了 半天 了 ， 可气 的 是 那 迎宾 员 （ 穿 蓝色 衣服 的 一 女孩 ） 后面 带个 客人 进来 非得 坐 这个 位子 ， 我们 都 坐 半天 要 点菜 了 ， 她 非得 让 我们 坐 会 原来 的 位子 ， 口气 毫无 商量 ， 把 矛盾 推 给 我们 两家 顾客 来 解决 ， 让 我 和 对方 谈 ， 看来 开业 生意 好 服务 就 无所谓 了 ， 那 迎宾 安排 排位 的 那个 女 的 服务态度 和 服务 意识 够 差 的 ， 不想 在 大庭广众 之下 和 一个 女 的 费口舌 ， 最后 我们 就 只好 回到 原来 的 位子 勉强 吃 完 这 顿饭 ， 记忆 深刻 ， 下次 再也 不来 了 ， 也 联系 周围 的 同事 别来 了 ， 不想 吃个 饭 还 受气 。
27,每次去都要排队，人不少，在恒隆可以和外婆家抗衡。价格方面还是可以接受的，餐厅环境也还可以，味道一般。,1,每次 去 都 要 排队 ， 人 不少 ， 在 恒隆 可以 和 外婆家 抗衡 。 价格 方面 还是 可以 接受 的 ， 餐厅 环境 也 还 可以 ， 味道 一般 。
28,这次过生日又去的汉巴味德，这回真的让我太失望了，想要说一下，从刚开业6.6的时候就一直吃，怀孕也吃生完了又带孩子来，基本上这几年过生日都是来这吃的，过生日没有活动，这可以接受，重点是食物的品质，这回过生日又来了，场面非常乱，虽说人多吧，难道能比刚开业时还多吗，吃的供不上，都开始抢，真的挺无语的，还有那些现烤的的烤肉，真的太慢太慢了，而且这次味道也不好吃，人多点就这样了，刚开业时都没这样过，连饮料都供不上，真的太失望了，吃自助每次都想到这，可是现在真是差的不是一点，以后过生日不会再来了，太失望了。还要说一下，宝宝椅真是太脏了，都是我们自己擦的。,0,这次 过生日 又 去 的 汉巴味德 ， 这回 真的 让 我 太 失望 了 ， 想要 说 一下 ， 从刚 开业 6.6 的 时候 就 一直 吃 ， 怀孕 也 吃生 完 了 又 带 孩子 来 ， 基本上 这 几年 过生日 都 是 来 这 吃 的 ， 过生日 没有 活动 ， 这 可以 接受 ， 重点 是 食物 的 品质 ， 这 回过 生日 又 来 了 ， 场面 非常 乱 ， 虽说 人多 吧 ， 难道 能比 刚 开业 时 还 多 吗 ， 吃 的 供 不 上 ， 都 开始 抢 ， 真的 挺无语 的 ， 还有 那些 现烤 的 的 烤肉 ， 真的 太慢 太慢 了 ， 而且 这次 味道 也 不 好吃 ， 人 多点 就 这样 了 ， 刚 开业 时 都 没 这样 过 ， 连 饮料 都 供 不 上 ， 真的 太 失望 了 ， 吃 自助 每次 都 想到 这 ， 可是 现在 真是 差 的 不是 一点 ， 以后 过生日 不会 再来 了 ， 太 失望 了 。 还要 说 一下 ， 宝宝 椅 真是太 脏 了 ， 都 是 我们 自己 擦 的 。
29,人好多，去的时候排号了不过等的时间不长，蛋挞挺好吃，外皮很酥，北极甜虾也不错，炸鸡腿我觉得刚出锅的时候最好吃，小蛋糕类的八点多的时候已经不多了，中式小吃比较全，鸡蛋羹、肉皮冻、蕨根粉都有，冰淇凌男票说是奶粉的味道，我觉得还行，总体来讲这个价位在自助餐里已经相当不错了,1,人 好多 ， 去 的 时候 排号 了 不过 等 的 时间 不 长 ， 蛋挞 挺好吃 ， 外皮 很 酥 ， 北极 甜虾 也 不错 ， 炸鸡腿 我 觉得 刚出 锅 的 时候 最 好吃 ， 小 蛋糕 类 的 八点 多 的 时候 已经 不多 了 ， 中式 小吃 比较 全 ， 鸡蛋羹 、 肉皮 冻 、 蕨 根粉 都 有 ， 冰淇凌 男票 说 是 奶粉 的 味道 ， 我 觉得 还 行 ， 总体 来讲 这个 价位 在 自助餐 里 已经 相当 不错 了
30,先森又带着我来解馋啦~烤玉米好吃得不得了~估计我自己吃了七八块~大爱的豆浆也是依旧好喝~奥尔良烤翅和梅子肉还是首选~棒棒哒~,1,先森 又 带 着 我 来 解馋 啦 ~ 烤 玉米 好吃 得 不得了 ~ 估计 我 自己 吃 了 七八块 ~ 大爱 的 豆浆 也 是 依旧 好喝 ~ 奥尔良 烤 翅 和 梅子 肉 还是 首选 ~ 棒棒 哒 ~
31,没有团购！没有特价！不能刷卡！不能转账！服务差！刚来时人多服务员说话听不清就说我们叫号不回答！服务员收拾别桌的东西溅了我一身！再也不来了！,0,没有 团购 ！ 没有 特价 ！ 不能 刷卡 ！ 不能 转账 ！ 服务 差 ！ 刚来时 人多 服务员 说话 听不清 就 说 我们 叫 号 不 回答 ！ 服务员 收拾 别桌 的 东西 溅 了 我 一身 ！ 再也 不来 了 ！
32,来过两次 两次的虫子 真的大家以后不要来了 这家的卫生水平太差,0,来过 两次   两次 的 虫子   真的 大家 以后 不要 来 了   这家 的 卫生 水平 太 差
