text,sentiment,source,target
两个 人 吃 没点 太多 ， 要 了 一份 手 抓 饼 当 主食 ， 没 仔细 看 菜单 ， 以为 手 抓 饼 是 咸口 的 了 🤣 结果 太甜 了 ， 油 还 有点 大 。 当时 特别 想 吃 炸 鲜奶 那类 的 甜食 ， 就要 了 一份 椰香 南瓜 什么 的 ， 菜 一 上来 好大 的 面包片 ， 里面 夹 了 一点 南瓜 ， 外面 还 挤 了 一些 酱 ， 这个 酱 有点 酸 不 好吃 ， 一人 吃 了 一块 就 没动 。 老醋 杂拌 一般 ， 有点 浆浆 糊糊 的 。 还要 了 一份 铁板 茄 夹 ， 茄子 太薄 了 ， 其实 是 想 吃 茄子 ， 倒 吃 了 一口 肉馅,1,两个 ,人 吃 没点 太多 ， 要 了 一份 手 抓 饼 当 主食 ， 没 仔细 看 菜单 ， 以为 手 抓 饼 是 咸口 的 了 🤣 结果 太甜 了 ， 油 还 有点 大 。 当时 特别 想 吃 炸 鲜奶 那类 的 甜食 ， 就要 了 一份 椰香 南瓜 什么 的 ， 菜 一 上来 好大 的 面包片 ， 里面 夹 了 一点 南瓜 ， 外面 还 挤 了 一些 酱 ， 这个 酱 有点 酸 不 好吃 ， 一人 吃 了 一块 就 没动 。 老醋 杂拌 一般 ， 有点 浆浆 糊糊 的 。 还要 了 一份 铁板 茄 夹 ， 茄子 太薄 了 ， 其实 是 想 吃 茄子 ， 倒 吃 了 一口 肉馅
很 一般       地点 好 真的 很 重要         不是 很 推荐,0,很 ,一般       地点 好 真的 很 重要         不是 很 推荐
我们 两个 人去 的 ， 等 个 100 多个 号 吧 ， 还 行 因为 不 着急 ， 就 特地 为了 去 拔草 ， 点 了 一直 烤鸭 ， 味道 不错 ， 就是 上 的 特别 慢 ， 上 了 以后 吃 了 两口 就 饱 了 ， 还点 了 奶酪 鱼 ， 名不虚传 非常 好吃 ， 还点 了 松茸 木耳 ？ 好像 是 这个 名字 ， 松茸 炒鸡少 ， 味道 一般 ， 不 推荐 ， 还点 了 招牌 梨 汤 ， 不错 ， 很 好喝 ， 点 了 奶酪 虾球 ， 味道 还 行 ， 可是 为什么 给 我们 桌上 的 比 我们 隔壁 桌 的 量 要 少 很多 呢 ？ ！ 吃 的 时候 没 发现 ， 等 隔壁 桌上 的 时候 才 发现 的 ， 然后 在 看 其它 桌 的 分量 都 比 我们 多 ， 这 还 看人下菜 碟 么 ？ 总之 ， 不会 去 了,0,我们 ,两个 人去 的 ， 等 个 100 多个 号 吧 ， 还 行 因为 不 着急 ， 就 特地 为了 去 拔草 ， 点 了 一直 烤鸭 ， 味道 不错 ， 就是 上 的 特别 慢 ， 上 了 以后 吃 了 两口 就 饱 了 ， 还点 了 奶酪 鱼 ， 名不虚传 非常 好吃 ， 还点 了 松茸 木耳 ？ 好像 是 这个 名字 ， 松茸 炒鸡少 ， 味道 一般 ， 不 推荐 ， 还点 了 招牌 梨 汤 ， 不错 ， 很 好喝 ， 点 了 奶酪 虾球 ， 味道 还 行 ， 可是 为什么 给 我们 桌上 的 比 我们 隔壁 桌 的 量 要 少 很多 呢 ？ ！ 吃 的 时候 没 发现 ， 等 隔壁 桌上 的 时候 才 发现 的 ， 然后 在 看 其它 桌 的 分量 都 比 我们 多 ， 这 还 看人下菜 碟 么 ？ 总之 ， 不会 去 了
哎 ， 冲着 推荐 来 的 ， 后悔 死 了 ， 上菜 巨慢 不 说 ， 服务态度 还 超级 差 ， 东西 咸 的 要死 ， 而且 普遍 的 贵 ， 谁 来 谁 犯二 ， 这辈子 不会 再来 了 。,0,哎 ,， 冲着 推荐 来 的 ， 后悔 死 了 ， 上菜 巨慢 不 说 ， 服务态度 还 超级 差 ， 东西 咸 的 要死 ， 而且 普遍 的 贵 ， 谁 来 谁 犯二 ， 这辈子 不会 再来 了 。
超级 差评     上菜 慢   服务态度 超级 差 、 先 把 汤 上来 喝 饱 了   完事 菜 就 上 了 一个 ， 找 服务员 催 半天 也 上 不来 最后 结账 态度 超级 差 一个 个子 不高 在 门口 附近 桌子 的 服务员,0,超级 ,差评     上菜 慢   服务态度 超级 差 、 先 把 汤 上来 喝 饱 了   完事 菜 就 上 了 一个 ， 找 服务员 催 半天 也 上 不来 最后 结账 态度 超级 差 一个 个子 不高 在 门口 附近 桌子 的 服务员
很 好吃 ， 中餐 有 西餐 味 。 用餐 人 很多 ， 我们 排队 了 15 分钟 呢 ， 爆,1,很 ,好吃 ， 中餐 有 西餐 味 。 用餐 人 很多 ， 我们 排队 了 15 分钟 呢 ， 爆
平日 晚餐 去 的 时间 不算 晚人 也 依旧 那么 火爆   等 了 一个 小时   安排 了 一张 超小 的 桌子   只 适合 下午茶 用   很无语   点 了 奶酪 罐子 依旧 很 喜欢   芝士 布朗 尼 好吃   彩虹 沙拉 料足 好 喜欢   意面 也 不错   喜欢 奶油 口味   还点 到 了 限量 的 卤肉饭   很 好吃   总体 来说 还 不错 吧,1,平日 ,晚餐 去 的 时间 不算 晚人 也 依旧 那么 火爆   等 了 一个 小时   安排 了 一张 超小 的 桌子   只 适合 下午茶 用   很无语   点 了 奶酪 罐子 依旧 很 喜欢   芝士 布朗 尼 好吃   彩虹 沙拉 料足 好 喜欢   意面 也 不错   喜欢 奶油 口味   还点 到 了 限量 的 卤肉饭   很 好吃   总体 来说 还 不错 吧
好吃 好吃 好吃 ， 就是 人 不少 ！ 烤肉 速度 人多 时候 稍 有些 慢 ！,1,好吃 ,好吃 好吃 ， 就是 人 不少 ！ 烤肉 速度 人多 时候 稍 有些 慢 ！
总体 还 不错   要 的 都 是 推荐 菜   手 撕饼 有点 腻,1,总体 ,还 不错   要 的 都 是 推荐 菜   手 撕饼 有点 腻
没有 菜单   用 微信 点菜   还是 先 付款   什么 都 没 吃 着 就 把 钱付 了   忙活 点餐 付款 就 十几 二十分钟   还 真得 不 饿 的 时候 来 吃饭   要 不 就 得 饿死,0,没有 ,菜单   用 微信 点菜   还是 先 付款   什么 都 没 吃 着 就 把 钱付 了   忙活 点餐 付款 就 十几 二十分钟   还 真得 不 饿 的 时候 来 吃饭   要 不 就 得 饿死
上周末 去 的 娜娜 家 ， 一直 没 来得及 点评 ， 今天 趁着 工作 不 忙 赶紧 来补 一个 😝 作为 一个 爱 吃 甜食 的 女生 ， 真的 是 对 这种 有 很多 小 甜点 的 西餐厅 爱不释手 ， 恨不得 天天 吃 。 刚好 周末 在 公司 加班 ， 离 大悦 城 很 近 ， 又 刚好 大悦 城有 娜娜 家 ， 毫不犹豫 的 拉 着 男朋友 来 拔草 了 。 【 位置 】 大悦 城五楼 骑鹅 公社 ， 对 我 这个 路痴 来说 位置 其实 并 不算 好找 ， 拉着 男票 足足 转 了 有 两圈 ， 才 在 一个 角落 看到 娜娜 家门口 的 标志性 小车 。 【 环境 】 因为 是 周末 去 的 ， 所以 人 不算 少 ， 要 排队 等位 ， 不过 屁股 刚 坐下 没有 两分钟 就 叫 到 我们 了 ， 安排 的 位置 是 一 进门 下楼梯 直对 的 单人 沙发 坐 ， 桌子 有点 矮 ， 适合 下午茶 的 时候 点杯 咖啡 葛优 躺 跟 闺蜜 聊 一 下午 的 天 ， 不过 吃 正餐 就 没 那么 舒服 了 ， 男票 一度 表示 想换个 位置 ， 无奈 人太多 只能 凑合 坐 。 【 服务 】 服务员 的 素质 都 还 算 不错 ， 坐下 后 很 及时 的 送来 了 iPad 点餐 ， 而且 一直 有 服务员 站 在 店里 随时 等候 召唤 ～ 点 好餐 服务员 也 会 贴心 的 问 是不是 按 顺序 上 ， 有没有 要 等 叫 的 ， 然后 告诉 你 菜 上 齐 大概 需要 多久 。 店里 还 提供 移动 电源 ， 就是 需要 100 元 的 押金 ， 不过 算是 比较 周到 的 服务 了 。 接下来 说 到 食物 啦 👏 👏 👏 【 娜娜 的 奶酪 罐子 】 娜娜 家 的 限量 奶酪 ， 一桌 限点 一个 ， 上 一次 去 娜娜 家 有点 晚 奶酪 已经 没有 了 ， 这次 一定 不会 错过 了 ， 顶层 是 巧克力 味 的 芝士 饼干 和 树莓 ， 中间 是 奶酪 ， 口感 跟 味道 都 很 不错 ， 就是 吃 多 了 会 有点 腻 ， 底层 应该 也 是 饼干 底 ， 奶酪 一定 要 及时 消灭 掉 ， 不然 放热 了 会 影响 口感 。 【 巧克力 鲜奶油 冰淇淋 华夫 】 量 很 足 ， 四块 华夫 ， 每块 都 很大 ， 冰激凌 会化 得 很快 ， 所以 如果 想要 慢悠悠 吃饭 的 伙伴 还是 等 叫 吧 ， 等 嘴 闲下来 再 叫 冰激凌 华夫 上 ， 这样 才 不会 影响 口感 。 【 煎 烤 德国 香肠 】 强推 ！ ！ ！ 口感 味道 都 一级 棒 ， 配菜 土豆泥 也 很 好吃 ， 蘸 酱 略偏 酸 ， 所以 个人感觉 不沾酱 比较 好吃 。 爱 肉食 的 小伙伴 可以 尝试 一下 呦 。 【 烟花 妓女 意大利 面 】 完全 是 被 名字 吸引 ， 男票 说 味道 一般 ， 可能 是因为 当时 已经 吃饱 了 。 【 芝士 鸡肉 蘑菇 意大利 面 】 无功 无过 吧 ， 算是 正常 的 意面 ， 因为 比较 偏爱 芝士 奶油 所以 点 的 。 饮品 点 的 是 鸳鸯 奶茶 ， 不是 偏甜 是 偏苦 的 奶茶 类型 ， 咖啡 味 浓 ， 爱 港式 奶茶 的 可以 试试 。 娜娜 家 环境 不错 ， 菜品 也 很 好 ， 一般 朋友 小聚 或者 情侣 约会 都 可以 选择 ， 有 的 分店 有 歌手 驻唱 ， 男孩子 们 可以 晚上 带 女朋友 去 听歌 吃 甜点 呀 ， 相信 大部分 女孩子 都 会 喜欢 娜娜 家 的 甜品 的 。,1,上周末 ,去 的 娜娜 家 ， 一直 没 来得及 点评 ， 今天 趁着 工作 不 忙 赶紧 来补 一个 😝 作为 一个 爱 吃 甜食 的 女生 ， 真的 是 对 这种 有 很多 小 甜点 的 西餐厅 爱不释手 ， 恨不得 天天 吃 。 刚好 周末 在 公司 加班 ， 离 大悦 城 很 近 ， 又 刚好 大悦 城有 娜娜 家 ， 毫不犹豫 的 拉 着 男朋友 来 拔草 了 。 【 位置 】 大悦 城五楼 骑鹅 公社 ， 对 我 这个 路痴 来说 位置 其实 并 不算 好找 ， 拉着 男票 足足 转 了 有 两圈 ， 才 在 一个 角落 看到 娜娜 家门口 的 标志性 小车 。 【 环境 】 因为 是 周末 去 的 ， 所以 人 不算 少 ， 要 排队 等位 ， 不过 屁股 刚 坐下 没有 两分钟 就 叫 到 我们 了 ， 安排 的 位置 是 一 进门 下楼梯 直对 的 单人 沙发 坐 ， 桌子 有点 矮 ， 适合 下午茶 的 时候 点杯 咖啡 葛优 躺 跟 闺蜜 聊 一 下午 的 天 ， 不过 吃 正餐 就 没 那么 舒服 了 ， 男票 一度 表示 想换个 位置 ， 无奈 人太多 只能 凑合 坐 。 【 服务 】 服务员 的 素质 都 还 算 不错 ， 坐下 后 很 及时 的 送来 了 iPad 点餐 ， 而且 一直 有 服务员 站 在 店里 随时 等候 召唤 ～ 点 好餐 服务员 也 会 贴心 的 问 是不是 按 顺序 上 ， 有没有 要 等 叫 的 ， 然后 告诉 你 菜 上 齐 大概 需要 多久 。 店里 还 提供 移动 电源 ， 就是 需要 100 元 的 押金 ， 不过 算是 比较 周到 的 服务 了 。 接下来 说 到 食物 啦 👏 👏 👏 【 娜娜 的 奶酪 罐子 】 娜娜 家 的 限量 奶酪 ， 一桌 限点 一个 ， 上 一次 去 娜娜 家 有点 晚 奶酪 已经 没有 了 ， 这次 一定 不会 错过 了 ， 顶层 是 巧克力 味 的 芝士 饼干 和 树莓 ， 中间 是 奶酪 ， 口感 跟 味道 都 很 不错 ， 就是 吃 多 了 会 有点 腻 ， 底层 应该 也 是 饼干 底 ， 奶酪 一定 要 及时 消灭 掉 ， 不然 放热 了 会 影响 口感 。 【 巧克力 鲜奶油 冰淇淋 华夫 】 量 很 足 ， 四块 华夫 ， 每块 都 很大 ， 冰激凌 会化 得 很快 ， 所以 如果 想要 慢悠悠 吃饭 的 伙伴 还是 等 叫 吧 ， 等 嘴 闲下来 再 叫 冰激凌 华夫 上 ， 这样 才 不会 影响 口感 。 【 煎 烤 德国 香肠 】 强推 ！ ！ ！ 口感 味道 都 一级 棒 ， 配菜 土豆泥 也 很 好吃 ， 蘸 酱 略偏 酸 ， 所以 个人感觉 不沾酱 比较 好吃 。 爱 肉食 的 小伙伴 可以 尝试 一下 呦 。 【 烟花 妓女 意大利 面 】 完全 是 被 名字 吸引 ， 男票 说 味道 一般 ， 可能 是因为 当时 已经 吃饱 了 。 【 芝士 鸡肉 蘑菇 意大利 面 】 无功 无过 吧 ， 算是 正常 的 意面 ， 因为 比较 偏爱 芝士 奶油 所以 点 的 。 饮品 点 的 是 鸳鸯 奶茶 ， 不是 偏甜 是 偏苦 的 奶茶 类型 ， 咖啡 味 浓 ， 爱 港式 奶茶 的 可以 试试 。 娜娜 家 环境 不错 ， 菜品 也 很 好 ， 一般 朋友 小聚 或者 情侣 约会 都 可以 选择 ， 有 的 分店 有 歌手 驻唱 ， 男孩子 们 可以 晚上 带 女朋友 去 听歌 吃 甜点 呀 ， 相信 大部分 女孩子 都 会 喜欢 娜娜 家 的 甜品 的 。
服务员 跟 * * 似的 ， 摇摇手 ， 没 位置 ， 话 都 不 说 一句 。,0,服务员 ,跟 * * 似的 ， 摇摇手 ， 没 位置 ， 话 都 不 说 一句 。
自从 这家 出 了 就 一直 想 去 ， 终于 赶个 闺蜜 也 有 时间 的 日子 早早 的 去 了 。 不到 五点 半到 那 就 已经 排到 10 几号 了 ， 差不多 等 了 半个 小时 进去 了 。 两个 人 但是 排号 的 只 发中桌 ， 所以 我们 两个 人 占 了 一张 大 桌子 很 不好意思 啊 。 点 了 三个 菜 两杯 饮料 ， 但是 我俩 好撑 ， 各种 吃不完 了 ， 味道 好吃 的 真的 没 的 说 。 点菜 是 用 美味 不用 等 ， 觉得 很 新颖 。 以后 还会 再 去,1,自从 ,这家 出 了 就 一直 想 去 ， 终于 赶个 闺蜜 也 有 时间 的 日子 早早 的 去 了 。 不到 五点 半到 那 就 已经 排到 10 几号 了 ， 差不多 等 了 半个 小时 进去 了 。 两个 人 但是 排号 的 只 发中桌 ， 所以 我们 两个 人 占 了 一张 大 桌子 很 不好意思 啊 。 点 了 三个 菜 两杯 饮料 ， 但是 我俩 好撑 ， 各种 吃不完 了 ， 味道 好吃 的 真的 没 的 说 。 点菜 是 用 美味 不用 等 ， 觉得 很 新颖 。 以后 还会 再 去
东西 什么 的 都 挺 好 ， 味道 也 不错 ， 就是 人 多点 ， 环境 很 好,1,东西 ,什么 的 都 挺 好 ， 味道 也 不错 ， 就是 人 多点 ， 环境 很 好
早就 耳闻 卤肉饭 ， 可是 不太 喜欢 吃 ， 是 甜口 的 ， 米饭 太硬 太 硬 了 应该 是 隔夜 的 ， 肉 也 不是 很烂 ！ ！ 烟花 意面 挺 辣 的 ， 就是 意大利 酱 ， 味道 挺 浓 的 ， 之前 去 都 可以 随便 坐 ， 这次 个 高 的 男服务员 不让 座 ， 看到 三口 坐个 六人座 ， 上菜 了 又 让 人 人家 坐 别的 地方 ， 小孩 都 哭 了 ， 感觉 有点 不 合适 了 ！ ！,0,早就 ,耳闻 卤肉饭 ， 可是 不太 喜欢 吃 ， 是 甜口 的 ， 米饭 太硬 太 硬 了 应该 是 隔夜 的 ， 肉 也 不是 很烂 ！ ！ 烟花 意面 挺 辣 的 ， 就是 意大利 酱 ， 味道 挺 浓 的 ， 之前 去 都 可以 随便 坐 ， 这次 个 高 的 男服务员 不让 座 ， 看到 三口 坐个 六人座 ， 上菜 了 又 让 人 人家 坐 别的 地方 ， 小孩 都 哭 了 ， 感觉 有点 不 合适 了 ！ ！
由于 在 公司 对面 ， 因此 和 同事 来过 几次 ， 菜 的 味道 还 可以 ， 今天 和 家人 路过 这 ， 带 他们 进来 尝尝 ， 桌子 上方 有风 ， 孩子 不 习惯 ， 然后 我们 就 和 里面 的 服务员 说 了 一下 ， 服务员 让 我们 自己 找张 没有 风吹 的 桌子 ， 我们 就 自己 找 了 张 没有 风 同时 也 没人 的 桌子 坐下 ， 坐 了 半天 了 ， 可气 的 是 那 迎宾 员 （ 穿 蓝色 衣服 的 一 女孩 ） 后面 带个 客人 进来 非得 坐 这个 位子 ， 我们 都 坐 半天 要 点菜 了 ， 她 非得 让 我们 坐 会 原来 的 位子 ， 口气 毫无 商量 ， 把 矛盾 推 给 我们 两家 顾客 来 解决 ， 让 我 和 对方 谈 ， 看来 开业 生意 好 服务 就 无所谓 了 ， 那 迎宾 安排 排位 的 那个 女 的 服务态度 和 服务 意识 够 差 的 ， 不想 在 大庭广众 之下 和 一个 女 的 费口舌 ， 最后 我们 就 只好 回到 原来 的 位子 勉强 吃 完 这 顿饭 ， 记忆 深刻 ， 下次 再也 不来 了 ， 也 联系 周围 的 同事 别来 了 ， 不想 吃个 饭 还 受气 。,0,由于 ,在 公司 对面 ， 因此 和 同事 来过 几次 ， 菜 的 味道 还 可以 ， 今天 和 家人 路过 这 ， 带 他们 进来 尝尝 ， 桌子 上方 有风 ， 孩子 不 习惯 ， 然后 我们 就 和 里面 的 服务员 说 了 一下 ， 服务员 让 我们 自己 找张 没有 风吹 的 桌子 ， 我们 就 自己 找 了 张 没有 风 同时 也 没人 的 桌子 坐下 ， 坐 了 半天 了 ， 可气 的 是 那 迎宾 员 （ 穿 蓝色 衣服 的 一 女孩 ） 后面 带个 客人 进来 非得 坐 这个 位子 ， 我们 都 坐 半天 要 点菜 了 ， 她 非得 让 我们 坐 会 原来 的 位子 ， 口气 毫无 商量 ， 把 矛盾 推 给 我们 两家 顾客 来 解决 ， 让 我 和 对方 谈 ， 看来 开业 生意 好 服务 就 无所谓 了 ， 那 迎宾 安排 排位 的 那个 女 的 服务态度 和 服务 意识 够 差 的 ， 不想 在 大庭广众 之下 和 一个 女 的 费口舌 ， 最后 我们 就 只好 回到 原来 的 位子 勉强 吃 完 这 顿饭 ， 记忆 深刻 ， 下次 再也 不来 了 ， 也 联系 周围 的 同事 别来 了 ， 不想 吃个 饭 还 受气 。
每次 去 都 要 排队 ， 人 不少 ， 在 恒隆 可以 和 外婆家 抗衡 。 价格 方面 还是 可以 接受 的 ， 餐厅 环境 也 还 可以 ， 味道 一般 。,1,每次 ,去 都 要 排队 ， 人 不少 ， 在 恒隆 可以 和 外婆家 抗衡 。 价格 方面 还是 可以 接受 的 ， 餐厅 环境 也 还 可以 ， 味道 一般 。
